YEAR,MONTH,BAND,ALBUM,GENRE,RATING,BEST SONG,
2016,JANUARY,Anderson .Paak,Malibu,Rap,7,“The Season | Carry Me”,
2016,JANUARY,Bloc Party,Hymns,Indie Rock,6,“Into The Earth”,
2016,JANUARY,Chairlift,Moth,Electro Pop,8,“Polymorphing”,
2016,JANUARY,Daughter,Not To Disappear,Indie Folk,8,“How”,
2016,JANUARY,David Bowie,Blackstar,Rock,8,“Blackstar”,
2016,JANUARY,Eleanor Friedberger,New View,Indie Pop,8,“He Didn't Mention His Mother”,
2016,JANUARY,Federico Albanese,The Blue Hour,Ambient,8,“Migrants”,
2016,JANUARY,Jesu & Sun Kil Moon,Jesu / Sun Kil Moon,Indie Folk,8,“Exodus”,
2016,JANUARY,Kevin Gates,Islah,Rap,8,“Hard For”,
2016,JANUARY,Majical Cloudz,Wait & See EP,Chamber Pop,7,“Wait & See”,
2016,JANUARY,Rihanna,ANTI,Pop,8,“Kiss It Better”,
2016,JANUARY,Savages,Adore Life,Indie Rock,7,“Adore”,
2016,JANUARY,Shearwater,Jet Plane and Oxbow,Indie Rock,7,“Only Child”,
2016,JANUARY,Sia,This Is Acting,Pop,7,“Reaper”,
2016,JANUARY,Suede,Final Thoughts,Indie Rock,8,“Outsiders”,
2016,JANUARY,Tindersticks,The Waiting Room,Indie Folk,8,“Second Chance Man”,
2016,JANUARY,Tortoise,The Catastrophist,Post Rock,6,,
2016,JANUARY,Ty Segall,Emotional Mugger,Indie Rock,4,,
,,,,,,,
2016,FEBRUARY,The 1975,"I Like It When You Sleep, For You Are So Beautiful Yet So Unaware of It",Indie Rock,9,“Somebody Else”,
2016,FEBRUARY,Animal Collective,Painting With,Psychedelic Pop,6,,
2016,FEBRUARY,CFCF,On Vacation,Electronic,7,“Arto”,
2016,FEBRUARY,Charli XCX,Vroom Vroom EP,Electro Pop,6,,
2016,FEBRUARY,DIIV,Is the Is Are,Indie Rock,6,“Bent (Roi's Song)”,
2016,FEBRUARY,Field Music,Commontime,Indie Rock,5,,
2016,FEBRUARY,Future,EVOL,Rap,5,,
2016,FEBRUARY,Kanye West,The Life of Pablo,Rap,9,“Real Friends”,
2016,FEBRUARY,LNZNDRF,LNZNDRF,Indie Rock,5,,
2016,FEBRUARY,Lucinda Williams,The Ghosts of Highway 20,Country,8,“Place in My Heart”,
2016,FEBRUARY,Mothers,When You Walk a Long Distance You Are Tired,Indie Folk,7,“It Hurts Until It Doesn't”,
2016,FEBRUARY,Mount Moriah,How To Dance,Country,6,“How To Dance”,
2016,FEBRUARY,Pinegrove,Cardinal,Indie Rock,8,“Old Friends”,
2016,FEBRUARY,Porches,Pool,Electro Pop,8,“Be Apart”,
2016,FEBRUARY,Sarah Neufeld,The Ridge,Instrumental,7,“Where The Light Comes In”,
2016,FEBRUARY,School of Seven Bells,SVIIB,Dream Pop,6,“Open Your Eyes”,
2016,FEBRUARY,Seth Bogart,Seth Bogart,Synthpop,6,“Plastic!”,
2016,FEBRUARY,Wild Nothing,Life of Pause,Dream Pop,7,“Life of Pause”,
2016,FEBRUARY,Yuck,Stranger Things,Indie Rock,7,“As I Walk Away”,
,,,,,,,
2016,MARCH,Anenon,Petrol,Electronic,7,“Machines”,
2016,MARCH,Anna Meredith,Varmints,Electronic,8,“Something Helpful”,
2016,MARCH,Azealia Banks,SLAY-Z,Rap,7,“Queen of Clubs”,
2016,MARCH,Cullen Omory,New Misery,Indie Rock,6,“Cinnamon”,
2016,MARCH,Esperanza Spalding,Emily's D+Evolution,R&B,8,“Rest in Pleasure”,
2016,MARCH,Gun Outfit,Two Way Player EP,Indie Rock,7,“Expansion Pact”,
2016,MARCH,Iggy Pop,Post Pop Depression,Rock,7,“Sunday”,
2016,MARCH,Into It. Over It.,Standards,Indie Rock,7,“Old Lace & Ivory”,
2016,MARCH,Ital Tek,Hollowed,Electronic,6,“Murmur”,
2016,MARCH,Kamaiyah,A Good Night in the Ghetto,Rap,6,“How Does It Feel”,
2016,MARCH,Kendrick Lamar,untitled unmastered.,Rap,8,“untitled 08 | 09.06.2014.”,
2016,MARCH,La Sera,Music for Listening to Music to,Indie Pop,5,,
2016,MARCH,Lust For Youth,Compassion,Synthpop,6,“In Return”,
2016,MARCH,M. Ward,More Rain,Indie Folk,6,“Slow Driving Man”,
2016,MARCH,Poliça,United Crushers,Indie Rock,8,“Summer Please”,
2016,MARCH,Primal Scream,Chaosmosis,Indie Rock,7,“Where the Light Gets In”,
2016,MARCH,The Range,Potential,Electronic,8,“Florida”,
2016,MARCH,SBTRKT,Save Yourself,Electronic,6,“Gemini”,
2016,MARCH,Sheer Mag,III EP,Punk,7,“Can't Stop Fighting”,
2016,MARCH,Underworld,"Barbara Barbara, We Face a Shining Future",Electronic,7,“Low Burn”,
2016,MARCH,Vijay Iyer & Wadada Leo Smith,A Cosmic Rhythm With Each Stroke,Jazz,4,“Passage”,
,,,,,,,
2016,APRIL,Andrew Bird,Are You Serious,Indie Folk,8,“Left Handed Kisses”,
2016,APRIL,Andy Stott,Too Many Voices,Electronic,6,,
2016,APRIL,A$AP Ferg,Always Strive and Prosper,Rap,2,,
2016,APRIL,Beyoncé,Lemonade,R&B,9,“All Night”,
2016,APRIL,Black Mountain,IV,Rock,7,“Line Them All Up”,
2016,APRIL,Brian Eno,The Ship,Ambient,8,“Fickle Sun (II) The Hour Is Thin”,
2016,APRIL,Colin Stetson,Sorrow: A Reimagining Of Gorecki’s 3rd Symphony,Classical,8,“Sorrow I”,
2016,APRIL,Deakin,Sleep Cycle,Psychedelic Pop,6,“Just Am”,
2016,APRIL,Deftones,Gore,Rock,7,“Prayers/Triangles”,
2016,APRIL,Drake,Views,Rap,8,“Feel No Ways”,
2016,APRIL,dvsn,Sept. 5th,R&B,9,“The Line”,
2016,APRIL,Explosions In the Sky,The Wilderness,Post Rock,8,“Disintegration Anxiety”,
2016,APRIL,The Field,The Follower,Electronic,7,“Soft Streams”,
2016,APRIL,Frankie Cosmos,Next Thing,Indie Pop,7,“Floated In”,
2016,APRIL,Frightened Rabbit,Painting of a Panic Attack,Indie Rock,6,,
2016,APRIL,Gallant,Ology,R&B,7,“Bone + Tissue”,
2016,APRIL,Kevin Morby,Singing Saw,Indie Rock,7,“I Have Been to the Mountain”,
2016,APRIL,The Last Shadow Puppets,Everything You've Come To Expect,Indie Rock,6,“Miracle Aligner”,
2016,APRIL,Leon Vynehall,Rojus,Electronic,8,“Blush”,
2016,APRIL,M83,Junk,Synthpop,7,“Atlantique Sud”,
2016,APRIL,Moderat,III,Electronic,7,“Eating Hooks”,
2016,APRIL,Mogwai,Atomic,Post Rock,7,“Are You a Dancer?”,
2016,APRIL,Niki and the Dove,Everybody's Heart Is Broken Now,Electro Pop,8,“So Much It Hurts”,
2016,APRIL,Parquet Courts,Human Performance,Indie Rock,5,,
2016,APRIL,PJ Harvey,The Hope Six Demolition Project,Indie Rock,7,“The Community Of Hope”,
2016,APRIL,Sturgill Simpson,A Sailor's Guide to Earth,Country,8,“Welcome to Earth (Pollywog)”,
2016,APRIL,Tim Hecker,Love Streams,Ambient,8,“Castrati Stack”,
2016,APRIL,Travis,Everything at Once,Indie Rock,7,“Idlewild (feat. Josephine Oniyama)”,
2016,APRIL,Weezer,The White Album,Indie Rock,7,“L.A. Girlz”,
2016,APRIL,Woods,City Sun Eater in the River of Light,Folk Rock,7,“Sun City Creeps”,
,,,,,,,
2016,MAY,ANOHNI,HOPELESSNESS,Art Pop,9,“Hopelessness”,
2016,MAY,Big Thief,Masterpiece,Indie Rock,8,"""Paul""",
2016,MAY,Braids,Companion EP,Art Rock,6,“Companion”,
2016,MAY,Car Seat Headrest,Teens of Denial,Indie Rock,8,“Drunk Drivers / Killer Whales”,
2016,MAY,Chance the Rapper,Coloring Book,Rap,9,"“Finish Line / Drown (feat. T-Pain, Kirk Franklin, Eryn Allen Kane, Noname)”",
2016,MAY,Death Grips,Bottomless Pit,Rap,3,,
2016,MAY,Digitalism,Mirage,Electronic,7,“Utopia”,
2016,MAY,Flume,Skin,Electronic,7,“Lose It (feat. Vic Mensa)”,
2016,MAY,The Hotelier,Goodness,Punk Rock,8,“You in This Light”,
2016,MAY,James Blake,The Colour in Anything,Electronic,8,“I Need A Forest Fire (feat. Bon Iver)”,
2016,MAY,Jessy Lanza,Oh No,Electronic,8,“It Means I Love You”,
2016,MAY,Julianna Barwick,Will,Ambient,7,“See Know”,
2016,MAY,Kaytranada,99.9%,Electronic,7,“Track Uno”,
2016,MAY,Kristin Kontrol,X-Communicate,Indie Pop,5,“X-Communicate”,
2016,MAY,Lone,Levitate,Electronic,5,,
2016,MAY,LUH,Spiritual Songs for Lovers to Sing,Indie Rock,8,“Lament”,
2016,MAY,Mark Kozelek,Mark Kozelek Sings Favorites,Indie Folk,7,“Float On”,
2016,MAY,Mark Pritchard,Under the Sun,Electronic,7,“Beautiful People (feat. Thom Yorke)”,
2016,MAY,Marissa Nadler,Strangers,Indie Folk,6,,
2016,MAY,Mutual Benefit,Skip a Sinking Stone,Indie Folk,6,,
2016,MAY,Pantha du Prince,The Triad,Electronic,7,“Wallflower for Pale Saints”,
2016,MAY,Radiohead,A Moon Shaped Pool,Indie Rock,9,“Identikit”,
2016,MAY,White Lung,Paradise,Punk Rock,8,“Below”,
,,,,,,,
2016,JUNE,Band of Horses,Why Are You OK,Indie Rock,6,“In A Drawer”,
2016,JUNE,case/lang/veirs,case/lang/veirs,Indie Folk,8,“Atomic Number”,
2016,JUNE,Classixx,Faraway Reach,Electronic,6,“Just Let Go (feat. How to Dress Well)”,
2016,JUNE,Delorean,Muzik,Electro Pop,7,“Limbo”,
2016,JUNE,Desiigner,New English,Rap,4,“Panda”,
2016,JUNE,DJ Shadow,The Mountain Will Fall,Electronic,7,“Ashes to Oceans”,
2016,JUNE,G.L.O.S.S.,Trans Day of Revenge EP,Punk,6,,
2016,JUNE,Huerco S.,For Those Of You Who Have Never (And Also Those Who Have),Ambient,8,“Promises Of Fertility”,
2016,JUNE,If These Trees Could Talk,The Bones of a Dying World,Post Rock,7,“The Here and Hereafter”,
2016,JUNE,James Ferraro,Human Story 3,Electronic,7,“Market Collapse”,
2016,JUNE,Joey Purp,iiiDrops,Rap,8,“GIRLS @ (feat. Chance the Rapper)”,
2016,JUNE,Minor Victories,Minor Victories,Indie Rock,8,“Scattered Ashes (Song for Richard)”,
2016,JUNE,Mitski,Puberty 2,Indie Pop,8,“Your Best American Girl” / “I Bet on Losing Dogs”,
2016,JUNE,Red Hot Chili Peppers,The Getaway,Rock,8,“Sick Love”,
2016,JUNE,The Strokes,Future Present Past EP,Indie Rock,7,“Oblivius”,
2016,JUNE,Swans,The Glowing Man,Indie Rock,7,“When Will I Return?”,
2016,JUNE,Tegan and Sara,Love You to Death,Indie Pop,8,“Boyfriend”,
2016,JUNE,Whitney,Light Upon the Lake,Indie Rock,8,“Dave's Song”,
,,,,,,,
2016,JULY,The Amazing,Ambulance,Indie Rock,8,“Ambulance”,
2016,JULY,Aphex Twin,Cheetah EP,Electronic,7,“CHEETAHT7b”,
2016,JULY,AraabMuzik,Dream World,Electronic,6,“Chasing Pirates (feat. Raiche)”,
2016,JULY,Arca,Entrañas EP,Electronic,6,,
2016,JULY,The Avalanches,Wildflower,Electronic,9,“If I Was A Folkstar (feat. Toro y Moi)”,
2016,JULY,BADBADNOTGOOD,IV,Jazz,6,,
2016,JULY,Bat For Lashes,The Bride,Indie Pop,5,“Sunday Love”,
2016,JULY,Blood Orange,Freetown Sound,R&B,9,“Hadron Collider”,
2016,JULY,Clams Casino,32 Levels,Electronic,7,“A Breath Away (Feat. Kelela)”,
2016,JULY,Elysia Crampton,Elysia Crampton Presents: Demon City,Electronic,7,“Red Eyez”,
2016,JULY,Elza Soares,A Mulher do Fim do Mundo,World Music,6,“Coraçao do Mar / Mulher do Fim do Mundo”,
2016,JULY,Floating Points,Kuiper EP,Electronic,6,“For Marmish Part II”,
2016,JULY,Ian William Craig,Centres,Ambient,7,“Contain (Cedar Version)”,
2016,JULY,Jamila Woods,HEAVN,R&B,8,“VRY BLK ft. Noname (prod. by oddCouple and Kweku Collins)”,
2016,JULY,Jay Som,Turn Into,Indie Rock,7,“Unlimited Touch”,
2016,JULY,Jeremih,Late Nights: Europe,R&B,7,"“London Feat. Stefflon Don, Krept & Konan”",
2016,JULY,Maxwell,blackSUMMERS'night,R&B,8,“Gods”,
2016,JULY,Michael Kiwanuka,Love & Hate,Soul,8,“Cold Little Heart”,
2016,JULY,Nao,For All We Know,R&B,6,“Bad Blood”,
2016,JULY,Schoolboy Q,Blank Face,Rap,7,“Neva CHange (feat. SZA)”,
2016,JULY,Shura,Nothing's Real,Synthpop,8,“Touch”,
,,,,,,,
2016,AUGUST,Cass McCombs,Mangy Love,Indie Folk,8,“Medusa's Outhouse”,
2016,AUGUST,Crystal Castles,AMNESTY (I),Electronic,8,“Kept”,
2016,AUGUST,Dinosaur Jr.,Give a Glimpse of What Yer Not,Indie Rock,7,“Be A Part”,
2016,AUGUST,Frank Ocean,Blond,R&B,9,“Nights”,
2016,AUGUST,Frank Ocean,Endless,R&B,8,“Slide On Me”,
2016,AUGUST,Jefre Cantu-Ledesma,In Summer EP,Ambient,6,“Love's Refrain”,
2016,AUGUST,Kyle Dixon & Michael Stein,"Stranger Things, Vol. 1",OST,8,-,
2016,AUGUST,Lydia Loveless,Real,Country,8,“Longer”,
2016,AUGUST,Of Montreal,Innocence Reaches,Indie Rock,5,,
2016,AUGUST,Porches,Water EP,Electro Pop,6,“Black Dress”,
2016,AUGUST,Russian Circles,Guidance,Post Rock,7,“Afrika”,
2016,AUGUST,Vince Staples,Prima Donna EP,Rap,5,,
2016,AUGUST,Wild Beasts,Boy King,Indie Rock,6,“Dreamliner”,
2016,AUGUST,Young Thug,"No, My Name is JEFFERY",Rap,8,“Kanye West (feat. Wyclef Jean)”,
,,,,,,,
2016,SEPTEMBER,Alcest,Kodama,Post Metal,8,“Eclosion”,
2016,SEPTEMBER,AlunaGeorge,I Remember,Electro Pop,7,“Full Swing”,
2016,SEPTEMBER,Angel Olsen,My Woman,Indie Folk,9,“Sister”,
2016,SEPTEMBER,Bon Iver,"22, A Million",Indie Folk,9,“33 “GOD””,
2016,SEPTEMBER,Cymbals Eat Guitars,Pretty Years,Indie Rock,8,“Dancing Days”,
2016,SEPTEMBER,Danny Brown,Atrocity Exhibition,Rap,5,,
2016,SEPTEMBER,Drive-By Truckers,American Band,Indie Rock,8,“When The Sun Don't Shine”,
2016,SEPTEMBER,Francis and the Lights,"Farewell, Starlite!",Indie Pop,7,“Friends (feat. Bon Iver and Kanye West)”,
2016,SEPTEMBER,Hamilton Leithauser + Rostam,I Had A Dream That You Were Mine,Indie Rock,8,“A 1000 Times”,
2016,SEPTEMBER,How to Dress Well,Care,Electro Pop,7,“Salt Song”,
2016,SEPTEMBER,Isaiah Rashad,The Sun's Tirade,Rap,8,“4r Da Squaw”,
2016,SEPTEMBER,James Vincent McMorrow,We Move,Indie Folk,7,“Last Story”,
2016,SEPTEMBER,Jenny Hval,Blood Bitch,Art Pop,8,“Conceptual Romance”,
2016,SEPTEMBER,Julius Eastman,Femenine,Electronic,,,
2016,SEPTEMBER,Kaitlyn Aurelia Smith / Suzanne Ciani,Sunergy,Electronic,5,,
2016,SEPTEMBER,Kyle Dixon & Michael Stein,"Stranger Things, Vol. 2",OST,7,-,
2016,SEPTEMBER,Local Natives,Sunlit Youth,Indie Rock,6,“Past Lives”,
2016,SEPTEMBER,M.I.A.,A.I.M.,Rap,6,“Freedun”,
2016,SEPTEMBER,Merchandise,A Corpse Wired For Sound,Indie Rock,6,“Right Back To The Start”,
2016,SEPTEMBER,Nick Cave and The Bad Seeds,Skeleton Tree,Indie Rock,9,“I Need You”,
2016,SEPTEMBER,Nicolas Jaar,Nymphs,Electronic,8,“The three sides of Audrey and why she's all alone now”,
2016,SEPTEMBER,Nicolas Jaar,Sirens,Electronic,7,“No”,
2016,SEPTEMBER,Okkervil River,Away,Indie Rock,8,“Call Yourself Renee”,
2016,SEPTEMBER,Pixies,Head Carrier,Rock,7,“Tenement Song”,
2016,SEPTEMBER,Preoccupations,Preoccupations,Indie Rock,7,“Degraded”,
2016,SEPTEMBER,serpentwithfeet,blisters EP,R&B,7,“blisters”,
2016,SEPTEMBER,Solange,A Seat at the Table,R&B,7,“Don't Touch My Hair”,
2016,SEPTEMBER,Tycho,Epoch,Electronic,6,“Glider”,
2016,SEPTEMBER,Warpaint,Heads Up,Indie Rock,6,“New Song”,
2016,SEPTEMBER,Wilco,Schmilco,Indie Rock,6,“If I Ever Was a Child”,
,,,,,,,
2016,OCTOBER,American Football,American Football,Indie Rock,8,“Give Me the Gun”,
2016,OCTOBER,D.R.A.M.,Big Baby D.R.A.M.,Rap,7,“Monticello Ave”,
2016,OCTOBER,Empire of the Sun,Two Vines,Synthpop,6,“There's No Need”,
2016,OCTOBER,Jamie Lidell,Building a Beginning,Electro Pop,6,,
2016,OCTOBER,Kings of Leon,WALLS,Rock,8,“Around the World”,
2016,OCTOBER,Leonard Cohen,You Want It Darker,Folk,8,“Treaty”,
2016,OCTOBER,Moby & The Void Pacific Choir,These Systems Are Failing,Electronic,4,,
2016,OCTOBER,Mono,Requiem For Hell,Post Rock,7,“Requiem For Hell”,
2016,OCTOBER,NxWorries,Yes Lawd!,Rap,7,“Can’t Stop”,
2016,OCTOBER,Phantogram,Three,Electro Pop,5,“Calling All”,
2016,OCTOBER,Powell,Sport,Electronic,3,,
2016,OCTOBER,The Radio Dept.,Running Out of Love,Dream Pop,8,“Swedish Guns”,
2016,OCTOBER,Ricky Eat Acid,Talk To You Soon,Electronic,7,“Call My Name”,
2016,OCTOBER,Two Door Cinema Club,Gameshow,Electro Pop,6,,
2016,OCTOBER,Weyes Blood,Front Row Seat to Earth,Indie Folk,8,“Do You Need My Love”,
,,,,,,,
2016,NOVEMBER,Burial,Young Death EP,Electronic,6,,
2016,NOVEMBER,Dawn Richard,Redemption,R&B,8,“LA (feat. Trombone Shorty)”,
2016,NOVEMBER,Hope Sandoval & the Warm Inventions,Until the Hunter,Indie Folk,6,“Let Me Get There (feat. Kurt Vile)”,
2016,NOVEMBER,Jim James,Eternally Even,Indie Folk,7,“We Ain't Getting Any Younger Pt. 1”,
2016,NOVEMBER,Justice,Woman,Electronic,7,“Fire”,
2016,NOVEMBER,Kate Bush,Before the Dawn,Baroque Pop,8,“Sunset”,
2016,NOVEMBER,Lambchop,FLOTUS,Indie Rock,8,“In Care Of 8675309”,
2016,NOVEMBER,The Men,Devil Music,Indie Rock,5,“Devil Music”,
2016,NOVEMBER,Sleigh Bells,Jessica Rabbit,Noise Pop,6,“I Can't Stand You Anymore”,
2016,NOVEMBER,A Tribe Called Quest,We Got It From Here... Thank You 4 Your Service,Rap,5,,
2016,NOVEMBER,The Weeknd,Starboy,R&B,6,“Sidewalks (feat. Kendrick Lamar)”,
,,,,,,,
2016,DECEMBER,Grouper,Paradise Valley EP,Ambient,8,“I'm Clean Now”,
2016,DECEMBER,Nine Inch Nails,Not the Actual Events EP,Rock,3,,
2016,DECEMBER,Vulfpeck,The Beautiful Game,Funk,,,
,,,,,,,
2017,JANUARY,Brian Eno,Reflection,Ambient,5,,
2017,JANUARY,CEP,Drawing the Target Around the Arrow,Ambient,3,,
2017,JANUARY,Cloud Nothings,Life Without Sound,Indie Rock,7,“Up to the Surface”,
2017,JANUARY,The Flaming Lips,Oczy Mlody,Indie Rock,5,“The Castle”,
2017,JANUARY,Foxygen,Hang,Indie Rock,8,“Follow the Leader”,
2017,JANUARY,Japandroids,Near to the Wild Heart of Life,Rock,6,,
2017,JANUARY,Julie Byrne,Not Even Happiness,Indie Folk,8,“Follow My Voice”,
2017,JANUARY,Migos,Culture,Rap,7,"""Bad and Boujee (feat. Lil Uzi Vert)""",
2017,JANUARY,Neil Cicierega,Mouth Moods,Electronic,8,"""The Starting Line""",
2017,JANUARY,Priests,Nothing Feels Natural,Punk,5,“Nothing Feels Natural”,
