YEAR,MONTH,DAY,BAND,ALBUM,RATING,
2010,JANUARY,11,VAMPIRE WEEKEND,CONTRA,8.6,
2010,JANUARY,15,OWEN PALLET,HEARTLAND,8.6,
2010,JANUARY,21,SURFER BLOOD,ASTRO COAST,8.2,
2010,JANUARY,25,FOUR TET,THERE IS LOVE IN YOU,8.6,
2010,JANUARY,26,BEACH HOUSE,TEEN DREAM,9.0,
2010,JANUARY,28,CHARLOTTE GAINSBOURG,IRM,8.4,
2010,FEBRUARY,8,HOT CHIP,ONE LIFE STAND,8.4,
2010,FEBRUARY,10,GIL SCOTT-HERON,I'M NEW HERE,8.5,
2010,FEBRUARY,15,LOCAL NATIVES,GORILLA MANOR,8.4,
2010,FEBRUARY,19,PANTHA DU PRINCE,BLACK NOISE,8.3,
2010,FEBRUARY,23,JOANNA NEWSOM,HAVE ONE ON ME,9.2,
2010,MARCH,4,GONJASUFI,A SUFI AND A KILLER,8.4,
2010,MARCH,9,LIARS,SISTERWORLD,8.1,
2010,MARCH,10,GORILLAZ,PLASTIC BEACH,8.5,
2010,MARCH,12,TITUS ANDRONICUS,THE MONITOR,8.7,
2010,MARCH,15,FANG ISLAND,FANG ISLAND,8.3,
2010,MARCH,17,THE MORNING BENDERS,BIG ECHO,8.2,
2010,APRIL,15,THE TALLEST MAN ON EARTH,THE WILD HUNT,8.5,
2010,APRIL,20,CARIBOU,SWIM,8.4,
2010,APRIL,22,DELOREAN,SUBIZA,8.4,
2010,APRIL,26,THE RADIO DEPT.,CLINGING TO A SCHEME,8.3,
2010,APRIL,29,CRYSTAL CASTLES,II,8.5,
2010,MAY,3,BROKEN SOCIAL SCENE,FORGIVENESS ROCK RECORD,8.3,
2010,MAY,6,FLYING LOTUS,COSMOGRAMMA,8.8,
2010,MAY,10,THE NATIONAL,HIGH VIOLET,8.7,
2010,MAY,13,MALE BONDING,NOTHING HURTS,8.5,
2010,MAY,14,SLEIGH BELLS,TREATS,8.7,
2010,MAY,17,LCD SOUNDSYSTEM,THIS IS HAPPENING,9.2,
2010,MAY,20,JANELLE MONAE,THE ARCHANDROID,8.5,
2010,MAY,24,JAMES BLAKE,CMYK EP,8.3,
2010,MAY,28,TAME IMPALA,INNERSPEAKER,8.5,
2010,JUNE,1,ROBYN,BODY TALK PT. 1,8.5,
2010,JUNE,3,WILD NOTHING,GEMINI,8.2,
2010,JUNE,7,ARIEL PINK'S HAUNTED GRAFFITI,BEFORE TODAY,9.0,
2010,JUNE,9,EMERALDS,DOES IT LOOK LIKE I'M HERE?,8.3,
2010,JUNE,28,JULIAN LYNCH,MARE,8.5,
2010,JUNE,30,CEO,WHITE MAGIC,8.5,
2010,JULY,1,WAVVES,KING OF THE BEACH,8.4,
2010,JULY,6,BIG BOI,SIR LUCIOUS LEFT FOOT: THE SON OF CHICO DUSTY,9.2,
2010,JULY,13,THE-DREAM,LOVE KING,8.6,
2010,JULY,27,BEST COAST,CRAZY FOR YOU,8.4,
2010,JULY,30,CURREN$Y,PILOT TALK,8.4,
2010,AUGUST,2,ARCADE FIRE,THE SUBURBS,8.6,
2010,AUGUST,13,MATTHEW DEAR,BLACK CITY,8.4,
2010,SEPTEMBER,13,THE WALKMEN,LISBON,8.6,
2010,SEPTEMBER,23,DAS RACIST,"SIT DOWN, MAN",8.7,
2010,SEPTEMBER,24,HOW TO DRESS WELL,LOVE REMAINS,8.7,
2010,SEPTEMBER,27,DEERHUNTER,HALCYON DIGEST,9.2,
2010,SEPTEMBER,28,NO AGE,EVERYTHING IN BETWEEN,8.8,
2010,OCTOBER,4,TWIN SHADOW,FORGET,8.4,
2010,OCTOBER,12,SUFJAN STEVENS,THE AGE OF ADZ,8.4,
2010,NOVEMBER,18,GIRLS,BROKEN DREAMS CLUB EP,8.7,
2010,NOVEMBER,22,KANYE WEST,MY BEAUTIFUL DARK TWISTED FANTASY,10.0,
2010,DECEMBER,3,ROBYN,BODY TALK,8.7,
2010,DECEMBER,9,OFF!,FIRST FOUR EPS,8.5,
2011,JANUARY,18,SMITH WESTERNS,DYE IT BLONDE,8.4,
2011,JANUARY,24,DESTROYER,KAPUTT,8.8,
2011,FEBRUARY,7,CUT COPY,ZONOSCOPE,8.6,
2011,FEBRUARY,9,JAMES BLAKE,JAMES BLAKE,9.0,
2011,FEBRUARY,15,PJ HARVEY,LET ENGLAND SHAKE,8.8,
2011,FEBRUARY,17,NICOLAS JAAR,SPACE IS ONLY NOISE,8.4,
2011,FEBRUARY,18,TIM HECKER,"RAVEDEATH, 1972",8.6,
2011,FEBRUARY,23,JULIANNA BARWICK,THE MAGIC PLACE,8.5,
2011,FEBRUARY,25,TORO Y MOI,UNDERNEATH THE PINE,8.3,
2011,MARCH,3,LYKKE LI,WOUNDED RHYMES,8.3,
2011,MARCH,7,KURT VILE,SMOKE RING FOR MY HALO,8.4,
2011,MARCH,29,THE WEEKND,HOUSE OF BALLONS,8.5,
2011,APRIL,1,THE PAINS OF BEING PURE AT HEART,BELONG,8.2,
2011,APRIL,11,PANDA BEAR,TOMBOY,8.5,
2011,APRIL,18,TUNE-YARDS,WHOKILL,8.8,
2011,APRIL,20,BIG K.R.I.T.,RETURN OF 4EVA,8.2,
2011,APRIL,22,CASS MCCOMBS,WIT'S END,8.4,
2011,APRIL,28,DJ QUIK,THE BOOK OF DAVID,8.4,
